feature,importance_gain,importance_split
V258,825739.5548235774,211
P_emaildomain,621611.8310210705,8718
card1,615993.1795325875,24137
TransactionAmt,600411.0228564441,23682
TransactionDT,575545.3189383149,25373
card2,548741.3473082781,21146
addr1,508261.6336311698,20172
V70,483586.63426315784,319
id_31,456113.3107597232,7535
DeviceInfo,435646.12869915366,7014
C14,415980.23374679685,2722
D2,380453.7950760126,5272
C13,367850.59052336216,6123
C1,299271.2194917798,3502
D15,299248.2483436167,8494
V294,285662.39002510905,459
dist1,251293.28334468603,10740
V91,235769.82408505678,299
id_30,223759.11072200537,3309
card5,214210.49934482574,7850
R_emaildomain,207213.22668293118,1815
D10,205446.53734511137,6142
id_33,201548.76142963767,2745
D4,189125.99411553144,6183
hour_in_day,183380.24925392866,12409
C2,166371.0046259761,3151
D1,163983.51207226515,3648
card6,163431.67123436928,599
C8,159377.68610173464,718
V308,155863.68281188607,934
C11,143955.89741900563,2301
C5,122074.04886990786,1222
D3,119249.62934941053,3280
C6,118835.54313600063,2364
D11,117303.31810486317,4185
V69,108087.37818843126,363
M5,104445.63508692384,3207
M6,102765.11027622223,2918
elapsed_days,99027.131690979,4993
D5,96566.45796880126,3850
day_in_week_cycle,93851.09848305583,7036
V312,90605.5348661542,944
id_02,81051.85924971104,5512
V310,78012.63705271482,1755
card3,74531.4442949593,857
D8,74175.6531047225,3027
M4,71945.41510605812,1348
V314,68772.27067941427,1248
C9,67935.91942584515,2051
id_20,64361.53080564737,4071
ProductCD,61624.86124056578,301
V30,60309.67524278164,286
V313,54346.809100568295,1966
V307,53714.480088472366,2025
V45,52008.76035922766,702
id_19,50941.91893541813,3804
V315,49989.3215200305,1271
V62,49877.23528754711,906
V317,49311.82018619776,917
V83,46921.130508482456,1060
card4,43645.743735194206,743
M3,42947.962019979954,1267
V283,42529.96162492037,555
V82,41282.60944437981,1063
dist2,41165.26551479101,3052
V54,39871.601611316204,903
V243,37869.602642953396,106
V87,36731.9510704875,913
V149,35896.336229383945,128
V285,35063.246410012245,465
D12,34709.94271233678,753
V75,34636.59729796648,921
V53,33992.1042637229,892
V187,33581.759527266026,125
V67,32923.34216809273,473
V320,32787.98688977957,567
id_05,32587.5071567297,2080
C4,31187.52328979969,363
V311,30093.97726804018,568
C7,30054.211901783943,342
V76,29692.67163899541,1004
M8,29010.3729275465,1483
V61,28873.673279374838,830
id_06,28225.811080098152,2096
M9,26568.92190605402,1241
V130,26493.24541556835,1062
D6,24974.378694951534,857
V281,23681.84908309579,471
M7,23571.06785953045,1218
V12,23472.60150015354,684
id_01,22878.10880625248,1480
V133,22783.558321774006,398
V20,22617.613145172596,666
D14,22420.1293669641,1551
V126,22343.71926152706,492
V49,21994.356718599796,410
V189,21914.747256815434,88
id_13,21638.927557706833,1603
V13,21245.513557851315,736
V127,20856.961425364017,1093
V35,19923.4358471632,853
C10,19885.358467280865,785
V38,19509.19253104925,673
V36,19210.038101553917,811
V156,19092.493323922157,103
V78,18878.137559443712,796
V48,18281.411796987057,642
V56,18142.200533151627,521
V165,17577.729084342718,281
D9,16824.53043293953,1381
C12,16699.91701582074,648
M2,16686.90446305275,817
V136,16484.89688950777,462
V296,16327.23053508997,203
V131,15893.54604512453,640
V55,15840.795944392681,365
D13,15747.638534605503,524
V102,15679.811892449856,159
V282,15080.823646605015,414
id_09,15061.967343866825,423
V5,14975.618789434433,636
id_17,14712.555988132954,345
V19,14676.598377585411,617
V86,14434.75094306469,560
V77,14417.477984309196,525
V37,14337.998145341873,369
V4,14209.382838070393,532
V128,14124.480078220367,510
V90,13424.337738156319,398
V44,13399.12300759554,520
id_14,13234.336963355541,650
V291,12771.72351539135,442
id_18,12765.926599234343,786
id_03,12148.523365616798,327
V10,12071.948202848434,453
V169,11901.751488268375,53
V309,11808.479504585266,541
V24,11710.316550970078,424
V29,10522.523398071527,290
V160,10252.631109714508,220
V161,10129.527464449406,40
V23,9594.488422334194,350
V96,9587.140869438648,275
V264,9520.947030901909,410
V257,9246.934146285057,76
V306,9188.928982317448,605
V66,9127.535122156143,344
V11,8996.7832826972,383
V99,8753.595930248499,235
V157,8732.886158943176,8
V224,8650.06032550335,117
V26,8561.552398175001,325
V129,8278.85763001442,425
D7,8130.402278542519,504
V244,8119.898740649223,44
V7,8104.137662291527,267
V324,7954.634708404541,8
V289,7742.01302832365,179
V152,7615.926263928413,150
addr2,7353.81567555666,195
C3,7181.053005933762,81
V124,6870.242797493935,234
V316,6733.320954620838,367
V145,6477.801969528198,82
V207,6369.59604370594,87
V47,6349.007287502289,302
V245,6254.592378854752,138
V42,6065.779040157795,130
V318,6025.180159986019,355
id_11,6011.105144649744,326
V94,5946.04847240448,142
V25,5942.161941349506,244
V6,5807.629785895348,161
V139,5640.968003213406,163
id_38,5639.007645487785,264
V295,5613.153451919556,86
V2,5598.4690834879875,105
V3,5512.4196501374245,259
V298,5342.877865374088,69
V79,5229.792883753777,192
V321,5101.479386746883,209
V300,5074.254659831524,167
V51,4898.627821564674,302
V261,4849.567203491926,306
V74,4756.64330714941,185
V234,4678.151247948408,267
V267,4672.025332212448,248
V52,4654.765908420086,237
V81,4597.230702280998,177
V135,4538.075345337391,197
V266,4371.510254979134,158
V137,4344.076855659485,195
V217,4260.730819582939,48
V319,4204.644633054733,211
V143,4195.0070053339,100
V280,4121.495102763176,162
V33,4120.666840136051,120
V73,4071.256895542145,184
V164,4053.4374685287476,124
V209,4051.653807193041,116
V158,3905.0258246064186,41
V205,3900.549440741539,46
V265,3812.1647967100143,217
V221,3809.5370435118675,314
DeviceType,3527.9873875379562,126
V40,3519.379317998886,173
V293,3511.5437636375427,95
V34,3498.877415597439,132
V39,3467.025437951088,186
V201,3407.6077213287354,41
V332,3344.916088283062,93
V159,3321.070121526718,107
V134,3318.9449715018272,204
V268,3314.430858850479,146
V301,3267.049599170685,97
V292,3246.730128109455,187
V132,3074.4205587506294,203
V64,3047.4584735035896,117
V335,2919.06725782156,62
V231,2884.506145298481,35
V277,2877.6383748054504,230
V203,2849.780146956444,202
V263,2810.99719196558,171
V222,2732.3930358290672,198
V150,2701.7356429696083,91
V287,2695.622505605221,93
id_16,2646.190185546875,213
id_04,2608.608913421631,117
V166,2603.104778945446,94
V206,2587.309954762459,76
V50,2537.835608422756,76
V248,2483.164099216461,42
V43,2409.708895921707,159
V223,2367.1351467370987,27
V270,2345.0753328204155,151
V216,2323.227023899555,79
V288,2283.9047105312347,99
V271,2278.9429439902306,143
V251,2231.2610463500023,69
id_07,2194.0168759822845,138
V331,2193.738072991371,44
id_08,2189.1641140580177,90
V170,2176.6792545318604,64
V60,2155.3063713908195,126
V163,2153.0902096629143,46
V274,2057.2474761009216,207
V115,2002.1605976819992,70
V290,2000.8427235484123,102
V272,1969.0344448685646,74
V225,1963.7783091664314,27
V215,1953.078944683075,139
V177,1948.626463830471,15
V333,1938.2112673819065,31
V218,1936.4570038318634,103
V279,1933.9532188177109,100
V59,1918.5913061499596,107
V323,1913.2397562861443,52
V220,1907.385126233101,95
V228,1884.388129234314,40
V260,1881.1375311017036,132
id_36,1867.8271206617355,17
V58,1863.4640945792198,94
V92,1835.8832224011421,67
V8,1811.739492058754,84
V9,1773.9135925769806,111
V85,1743.1118447184563,110
V46,1738.779835343361,113
id_37,1706.1323955059052,152
V57,1669.153708845377,72
V200,1610.3982332348824,49
id_10,1582.3775545358658,108
V202,1570.1872262954712,78
V105,1562.0120185017586,67
V338,1555.2651393413544,24
V303,1524.9993751347065,93
V63,1522.6018814444542,79
V212,1521.327046096325,83
V100,1511.5870166420937,60
id_25,1492.003289759159,43
V336,1491.5013844966888,32
V229,1458.3533396720886,136
id_15,1456.9574687480927,73
V276,1443.5361214280128,132
V278,1432.0087525844574,107
V208,1431.7063601613045,87
V97,1418.0578653812408,86
V125,1383.1890659332275,60
V262,1374.67441290617,132
V22,1351.987709760666,21
V167,1343.9592711925507,7
V178,1326.2995910048485,28
V80,1322.8551938533783,128
V15,1288.3425256609917,56
V204,1272.4705960154533,109
V172,1272.122241973877,10
V210,1268.5927008390427,48
V123,1261.334111213684,60
V256,1219.212921589613,65
V286,1209.6265155673027,60
V233,1187.1445499658585,45
V219,1165.8614206314087,36
V72,1146.1757349967957,50
V140,1143.5462362766266,61
V275,1129.1777140498161,108
V259,1123.258568406105,108
V339,1101.8032364845276,23
V304,1040.4771680235863,59
V299,1038.9370189905167,40
V246,1031.2991291880608,38
V181,1018.4397495388985,34
V232,970.396068572998,82
V173,968.3560327887535,11
V230,961.3326606154442,76
V93,945.4721332192421,63
V147,908.5106109380722,59
V154,894.0183526277542,19
V175,878.2020854353905,11
V242,874.0868650078773,62
V108,872.3438672423363,36
V103,853.8156022429466,31
V109,843.8263132572174,42
V329,836.7930016517639,10
id_24,812.3650832772255,27
V162,809.5639494657516,12
id_21,805.2804113030434,29
V253,773.8788474202156,58
V273,771.5182899832726,78
V144,770.5081554055214,37
V171,756.5263139009476,37
V84,750.3087610602379,61
V214,739.3911517262459,83
V235,725.2035719156265,23
V238,716.4805645942688,44
V118,701.385537147522,28
V17,690.7754224538803,42
V180,683.7148866653442,35
id_28,679.6705008149147,30
V176,676.9920438528061,25
V116,673.0487310290337,39
V211,645.48388504982,51
