feature,importance_gain,importance_split
V258,839822.6178271472,193
V70,650813.7847983241,323
P_emaildomain,611919.394112438,8155
TransactionAmt,507383.31915298104,19063
card1,506385.3570845425,18488
card2,470670.6574012041,16665
TransactionDT,457471.2505072355,18978
addr1,451817.95575118065,17382
DeviceInfo,431869.6157257259,6711
id_31,428653.6846149266,7229
C14,394605.4336247742,2466
D2,377925.6615077257,4733
C13,352167.469599396,5386
card1_prior_count,330725.39722529054,15869
C1,301567.135317266,3220
card1_prior_count_7d,274382.5013502836,12528
V294,261280.7779698968,478
card1_time_since_previous_hours,259112.3568445742,15704
D15,257644.55437415838,7744
dist1,226577.11719223857,9150
id_30,214265.15904596448,3109
id_33,199684.46118676662,2506
D10,191182.83544048667,5507
R_emaildomain,184720.75402641296,1680
card5,184455.22866904736,6296
D4,178798.25170511007,5656
card1_prior_count_24h,167114.93218147755,8534
card6,165992.71196901798,499
C2,152667.41521722078,2935
C11,151420.7648947239,2276
C8,146731.3980436325,713
hour_in_day,143092.90704014897,9471
V308,137480.43897515535,932
D1,133661.48086506128,3295
D3,129342.92239901423,3128
C5,118186.0368334353,1166
C6,116133.73322218657,2130
V312,115083.35335195065,786
V90,111398.32499822974,335
M5,108426.3095754385,2723
D11,100284.65855658054,3738
M6,98112.48894309998,2481
V91,97994.57416665554,309
D5,86972.29627975821,3452
elapsed_days,86833.5115391612,3977
card3,77410.10840624571,723
id_02,75073.86606168747,4658
day_in_week_cycle,73415.99279507995,5553
D8,71509.60556799173,2714
V317,66481.56201893091,891
C9,65767.83698129654,1829
V310,63629.12940248847,1610
id_20,62224.25458499789,3684
M4,60712.12440550327,1127
V313,58608.978850752115,1940
ProductCD,56227.55497598648,286
V62,55587.28139877319,904
V314,53457.96000176668,1156
V45,51572.41721743345,683
V83,49636.72207963467,965
id_19,48562.18297037482,3464
V307,47222.81993031502,1824
V243,46749.04419362545,85
V315,46687.84669935703,1128
V283,44621.943271279335,525
V187,39480.850574970245,115
M3,39189.39133250713,1014
V285,39022.36332142353,418
dist2,37743.60085475445,2636
card4,37146.0519888401,665
id_05,36480.49206915498,1790
V54,36183.696171700954,827
id_17,35757.86463135481,317
V87,33698.72698402405,849
V53,33222.290041297674,820
V76,33021.89014685154,836
V82,32936.79271790385,1026
C7,32330.763034939766,349
V320,32184.819057643414,530
V61,30720.862703442574,793
V30,29161.226395189762,256
id_06,26926.23618412018,1844
V281,26199.39656472206,482
V74,26101.102179169655,213
C4,25197.632612884045,359
V149,24702.21568235755,122
V130,24654.19652888179,956
V78,23180.92207109928,820
M9,22693.31329727173,1014
C10,22668.87569963932,722
V67,22652.517332464457,429
V75,22532.449971735477,799
M8,21287.32396900654,1114
V35,21187.757270097733,707
V12,21121.791719913483,586
V36,21120.552671968937,726
V133,20572.061881363392,383
V13,20191.513687968254,681
V311,20065.29196703434,412
id_01,20064.561697870493,1298
id_13,19584.764452815056,1452
V156,19401.555371761322,111
D14,18884.634242624044,1375
V189,18877.296569526196,93
V49,18875.261277914047,398
D6,18824.2951657176,761
M7,18671.084328234196,1025
V38,18448.827727675438,637
V127,18063.032890319824,990
V165,17923.087734282017,281
V20,17852.201965749264,632
V102,17690.06499746442,153
V296,17411.88011878729,219
D13,17088.672198712826,482
V56,16102.253338456154,476
V48,15673.266834825277,551
V55,15517.24232596159,344
V19,15138.140518963337,558
V160,15034.094287395477,190
id_09,14957.67660599947,393
V136,14902.831127554178,397
C12,14801.207017928362,627
D9,14785.230758279562,1206
V5,14192.928109914064,570
M2,14000.549259006977,679
V44,13950.787796348333,537
V128,13574.02217617631,482
V37,13322.873464286327,399
V131,13154.611668109894,592
V77,12443.283236563206,444
V86,12430.06216225028,504
id_14,12405.708473861217,540
D12,12335.940504342318,699
id_18,11938.709242790937,697
V126,11907.105333864689,420
V24,11793.638513684273,443
id_03,11704.174820423126,294
V306,11489.1347361207,583
V291,11461.146059930325,433
V4,11012.20705229044,462
V139,10154.055835306644,163
V69,10022.883031785488,356
V96,9540.079078316689,272
