configuration,seed,pr_auc,roc_auc,best_iteration,actual_stopping_iteration,maximum_estimators,early_stopping_triggered,estimator_cap_reached
b0,42,0.6491385746479026,0.925020356086887,5821,6000,6000,False,True
b0,202,0.6401243307263832,0.9252834785466324,3648,3848,6000,True,False
b0,707,0.6448074292639031,0.9242728395786786,5926,6000,6000,False,True
b0,1337,0.6427950031831541,0.9240471369473255,5999,6000,6000,False,True
b0,2024,0.6486077750859758,0.9238690305545101,5984,6000,6000,False,True
b1_card1,42,0.6550391328616743,0.9280732137984835,5999,6000,6000,False,True
b1_card1,202,0.6541478750734566,0.9271781931459433,5999,6000,6000,False,True
b1_card1,707,0.6426453686404109,0.9273633899755858,3644,3844,6000,True,False
b1_card1,1337,0.6494227514093047,0.926360125830543,5994,6000,6000,False,True
b1_card1,2024,0.6497407856971592,0.9267411186360439,4651,4851,6000,True,False
