feature,importance_gain,importance_split
V258,850014.4400757179,270
P_emaildomain,577479.0521879308,9877
C14,514053.0287541449,3571
TransactionAmt,489378.96189625934,29174
card1,452103.5519893244,28032
id_31,424286.94139266014,10316
card2,421032.4219673574,25047
TransactionDT,403656.5659342557,26057
V294,399986.02438927814,721
DeviceInfo,396672.74449519813,9516
C1,352079.5793976225,5164
addr1,326091.0450228229,20223
C13,311029.787349686,8192
card1_prior_count,305603.4010063037,23168
D2,302701.92955894023,7369
V70,285578.7998883985,544
D15,248010.65826204047,11824
card1_prior_count_7d,244110.47290164977,18515
addr1_prior_count_7d,242217.098178681,16472
card1_time_since_previous_hours,227423.6021584496,24182
id_30,216200.1442618817,3599
D10,215136.2450665906,8696
addr1_prior_count,214357.63905309886,17112
R_emaildomain,208131.27656019852,2000
dist1,202670.6353097856,13005
id_33,201926.5264283158,2826
V91,197816.30143202096,420
addr1_prior_count_24h,192697.01742668077,15574
D4,185193.13850413263,8451
card6,179741.35800896212,649
card5,177374.50272523984,9713
addr1_time_since_previous_hours,168791.80332080647,19864
C10,164297.8363561891,1147
card1_prior_count_24h,151024.495910082,12465
D1,140070.44526464492,5183
C2,139559.03150586784,4378
C11,127636.36652196944,3318
hour_in_day,125082.71917214245,14672
C5,123506.09810943529,1563
V69,112582.41675750911,448
C6,109476.44387743622,3265
M5,103052.06265096739,3484
D3,102998.12067687884,4841
M6,91740.74219412357,2899
D11,91088.13028855994,5416
V308,89282.95496995002,1485
D5,74265.21009337157,5215
V280,73102.59398657829,211
D8,73066.35372218117,4853
V283,72618.69686309621,806
id_02,71826.49926335737,8672
id_20,70437.24862286448,6255
V317,68800.07282395661,1462
elapsed_days,67854.52346091345,5276
V310,67155.88706477359,2532
V312,67105.24115506932,1339
card3,66077.92140258104,997
day_in_week_cycle,65712.46966219693,8327
M4,62258.731892839074,1219
C9,61904.76395580545,2686
V314,56974.24831036106,1858
V45,53911.19024581835,1057
V313,52522.08362898603,2832
ProductCD,51531.66514567286,329
V62,50529.96340000257,1454
