feature,importance_gain,importance_split
V258,845999.9349832349,253
P_emaildomain,603489.3434696905,10611
TransactionAmt,533708.8061130494,33484
C14,509485.7863577269,3948
card1,507751.1028317027,31822
TransactionDT,453291.00269588083,32262
card2,447366.2802064866,27836
id_31,435452.3700772114,10261
addr1,427129.37629739195,29450
V294,400581.9727728255,681
DeviceInfo,400443.76820429415,9162
C1,344236.4932419397,5325
card1_prior_count,339438.6413124651,26811
C13,313118.3785690814,8790
D2,308071.31538877636,7901
card1_prior_count_7d,283210.0824620202,21656
D15,264703.13592801616,12707
card1_time_since_previous_hours,258959.90142527595,28456
V70,252034.48225333914,526
D10,228000.74528499693,9247
dist1,224207.7383048907,15861
id_30,209535.4448067136,3651
R_emaildomain,203166.48123138025,2013
V91,199843.78880430013,402
D4,195247.7666562982,9153
id_33,191928.10349165648,2899
card5,180844.2721771747,10392
card6,176201.56650966406,672
card1_prior_count_24h,166369.69048189,14810
C10,164454.46710273996,1059
C2,158999.34941141307,4765
D1,146990.00334987044,5319
hour_in_day,142554.9500488937,17392
C5,138740.84947449714,1835
V69,138260.96922254562,503
C11,131961.83206304535,3522
D3,108982.45317069069,5186
M5,107775.47433657944,4118
C6,106459.92674245685,3555
D11,100247.16625571251,6258
M6,97840.5358281061,3639
V308,95813.62423693761,1586
D5,82095.97304965928,5987
elapsed_days,78410.11927444488,6496
day_in_week_cycle,76793.63354070112,9861
id_02,75431.98121966049,8284
V310,74694.1877668351,2706
id_20,74313.60013743863,6233
V312,73205.01117539406,1436
V283,72374.92398405075,867
V280,71292.93316212296,236
D8,71196.21262896433,4694
card3,69858.02562532946,1082
C9,66734.94850460812,3012
M4,65771.35045809299,1400
V317,65404.45953982696,1541
V314,59202.30404711515,1952
ProductCD,58748.76660321653,368
V313,58619.38244359568,3064
V83,53044.84351320565,1682
V30,49868.1514640674,408
V45,48711.05620746687,1124
V62,48646.92062602565,1377
V307,46507.27425735816,3059
C8,43861.90328436345,1119
C4,43733.90950918943,586
V54,43253.31265748292,1347
id_19,42799.99546142295,5974
device_fingerprint_prior_count,39557.124181464314,1607
dist2,37532.271282274276,4723
id_01,37497.59338237345,2340
M3,36338.2890128158,1641
V82,35913.391162112355,1540
V87,35882.93456179649,1442
card4,35359.60465173423,744
V285,35245.84686410427,725
V67,34359.76278561726,707
V243,34138.36616449803,169
V187,33617.27666891739,171
C7,32546.859842646867,483
V315,31756.842480666935,1847
V309,31053.838225640357,885
V320,30824.499159220606,903
id_06,28840.489558920264,3250
id_05,28653.13240363449,3098
V156,28056.28158767149,142
V76,27327.448354590684,1363
V53,25560.84802813083,1300
V61,25490.185185559094,1249
M8,24170.850866235793,1914
V130,23301.793954223394,1643
V281,23066.47667062655,738
V12,22980.790357381105,892
V35,22938.956981625408,1103
device_fingerprint_prior_count_24h,22910.24578786269,761
M9,22453.82260733843,1669
V29,22138.646698847413,488
V36,21754.443005532026,1082
V13,20639.60544695705,1121
V75,20618.22147527337,1206
M7,20501.883758850396,1539
V38,20315.44522645697,1076
V20,20035.829851828516,999
V49,19947.906388945878,611
V55,19919.133240628988,525
V19,19367.265966698527,925
D14,19305.741061143577,2356
device_fingerprint_prior_count_7d,19046.354451086372,1414
V189,18510.782849479467,141
D6,18395.782095350325,1351
V127,18309.452934425324,1791
V136,18136.558734681457,614
V78,17721.95800762996,1270
id_13,17626.92938868329,2525
V56,17031.47268686071,781
V48,16450.882437944412,863
C12,16394.41779536754,1096
D13,16335.549302246422,786
V133,15999.024514012039,655
V311,15812.117206897587,626
V86,15781.960189964622,827
V90,15691.675161607563,565
id_09,15187.327925376594,572
V257,15074.29359324649,157
D9,14961.762302316725,2251
M2,14394.753887288272,1070
V165,14346.81842456013,455
V5,14193.423239193857,898
V131,14031.259114041924,1065
V128,13955.182058796287,858
V296,13176.57176265493,324
id_17,13091.836805604398,505
V37,13048.956475932151,596
V102,13044.22657237947,253
V77,12079.89526297152,747
id_18,11956.651010863483,1101
