feature,importance_gain,importance_split
V258,843789.8788945004,255
P_emaildomain,596539.2127441727,10511
TransactionAmt,518606.581360694,32508
C14,518200.4094844423,3830
card1,506618.04324262217,31546
TransactionDT,464209.336651437,31995
card2,454197.9725790769,27484
id_31,450092.3192498088,10521
addr1,413798.70010527223,28672
DeviceInfo,398621.4168949835,9252
V294,395115.1204834096,699
C1,340677.33981420845,5314
D2,337026.95126147196,7444
card1_prior_count,320662.5556605682,26299
C13,308461.5572750047,8600
card1_prior_count_7d,278001.8822776042,20596
D15,253942.1450722143,12305
V70,252432.72531360015,520
card1_time_since_previous_hours,242760.55891826376,27310
dist1,219757.64624902606,15281
D10,219739.63835475966,9033
id_30,214703.13565883785,3918
id_33,200969.3603042513,3113
V91,197620.78420924023,404
R_emaildomain,192918.5616309978,2009
card5,189734.00624332204,10451
D4,189037.65196087584,8944
card6,174683.78378669918,673
C10,166483.09068363532,1142
card1_prior_count_24h,158199.4926973544,13946
C2,155985.61473177,4648
D1,143220.053237658,5077
hour_in_day,139275.0314337276,16765
V69,138691.34939959645,487
C5,137561.32005196437,1705
uid_time_since_previous_hours,135784.1166363433,11216
C11,122742.39752385765,3468
C6,103690.38422337547,3399
M5,102455.59540652111,3898
D11,100811.7629167661,6051
D3,96174.53922589496,4369
M6,90598.56615065783,3599
D5,83492.17086800188,5553
V312,82601.09957255423,1375
elapsed_days,79661.29210973531,6331
day_in_week_cycle,79037.30779631808,9769
id_02,77987.2566993311,8612
V280,72882.97381929308,198
id_20,72674.2567477934,6389
V317,71121.23353581503,1429
D8,70781.73498451337,4805
V308,70398.86649195477,1437
M4,69905.13581266254,1388
C9,69823.5477180332,3019
card3,68576.96377642825,1081
V310,67761.85054122284,2526
ProductCD,58504.033133521676,375
V313,58088.09689394012,3144
V314,55787.36580906063,1891
V45,54227.98601658642,1118
V283,52965.49160142243,811
V62,51665.73844636977,1374
V83,50920.279114454985,1666
V307,50821.23813549802,3007
V30,50023.71023775637,379
id_19,45412.12571705505,6163
C8,45128.2177076973,1146
C4,45110.18533210829,619
uid_prior_count,44093.57951038703,2432
V54,40975.5394282639,1260
dist2,39391.57394883782,4693
V243,37796.98805470765,142
V67,37786.83093486726,751
id_01,37239.16230203211,2287
V82,36670.00532903895,1533
V315,36417.46345286444,1846
M3,35255.262197211385,1558
card4,31777.563333444297,737
V187,31767.353500917554,197
V87,31462.931997086853,1357
id_05,31432.43348634988,3299
C7,30450.969558585435,498
V320,30001.665982425213,839
V309,29185.18748421222,782
V285,28625.308914087713,623
id_06,28276.697551418096,3340
V76,27612.2069889009,1338
V156,27082.77583388239,150
V13,26318.708170115948,1162
V61,25182.72306893766,1174
V53,25113.33507204801,1236
V35,25048.438835095614,1071
V130,24271.447133425623,1606
V281,23110.236425038427,693
V36,22582.0599533841,1199
V12,22388.89015277475,936
V38,22265.65296189487,1078
M9,21778.414011072367,1562
V20,21345.056891344488,1025
V29,21180.846677035093,458
M8,21153.590447619557,1856
D14,20776.941769704223,2354
D6,19750.36490413919,1351
V189,19715.71141793579,141
id_13,19392.798172209412,2697
V75,19114.957235146314,1189
V55,19112.825589511544,516
V127,18930.886786866933,1735
M7,18825.81818522513,1509
V19,18362.417845789343,831
V78,17574.950326927006,1251
V49,17152.55290145427,601
V165,16754.146716106683,495
V296,15892.722553148866,344
uid_prior_count_24h,15839.842957276851,1697
C12,15837.220445845276,1064
D13,15636.045531932265,787
D9,15588.900597494096,2316
V257,15469.689845789224,169
V136,15438.864413969219,599
V133,15264.727114260197,633
uid_prior_count_7d,15233.161668289453,1388
id_09,15150.0392581895,569
V56,15144.894311241806,764
V86,14985.441049046814,825
V90,14564.556070383638,553
M2,14492.42311539501,939
V48,14284.147365309298,778
V102,14182.593518257141,239
V5,14096.813015516847,901
id_17,14018.104593552649,498
D12,13660.363138403744,1203
V128,13657.920569688082,887
id_18,13315.893197890371,1150
V94,12953.662734687328,218
V131,12869.967687953264,1049
V77,11997.848379641771,743
V282,11772.534390963614,631
V311,11449.654409117997,524
V37,11094.628528494388,631
V4,11079.639333281666,734
V149,10957.43024262786,168
V24,10724.233031764627,670
V160,10711.774419777095,316
V262,10477.981666691601,214
V10,10332.656355343759,630
id_14,10309.699008770287,939
D7,9953.759129531682,794
id_03,9927.527588352561,505
V44,9515.367667838931,848
V66,9511.667379677296,503
V266,9193.940413430333,205
addr2,8958.355929523706,328
V289,8875.191277273,280
V99,8691.466392152011,326
V267,8577.735978897661,362
V23,8556.905984256417,527
V96,8538.601484574378,476
V11,8499.780380252749,494
V306,8398.073376238346,952
V126,8367.783847101033,780
V157,8325.135110724717,25
